Date,Open,High,Low,Close,Adj Close,Volume
2009-11-23,110.720001,111.739998,110.599998,110.820000,86.427063,148010200
2009-11-24,111.000000,111.199997,110.010002,110.989998,86.559601,138420100
2009-11-25,111.169998,111.500000,110.820000,111.379997,86.863777,109564800
2009-11-27,108.400002,110.320000,108.290001,109.570000,85.452164,126001800
2009-11-30,109.480003,110.199997,108.120003,109.940002,85.740738,160874800
2009-12-01,110.919998,111.660004,110.730003,111.300003,86.801369,159613700
2009-12-02,111.279999,112.010002,110.919998,111.250000,86.762383,132315100
2009-12-03,111.550003,112.180000,110.290001,110.379997,86.083885,167324900
2009-12-04,111.839996,112.379997,110.040001,111.010002,86.575180,274907800
2009-12-07,110.910004,111.529999,110.489998,110.839996,86.442635,127973800
2009-12-08,110.040001,110.769997,109.269997,109.610001,85.483406,169863700
2009-12-09,109.580002,110.180000,109.019997,110.019997,85.803131,155063400
2009-12-10,110.699997,111.120003,110.449997,110.639999,86.286636,138014600
2009-12-11,111.110001,111.360001,110.610001,111.110001,86.653183,124854000
2009-12-14,111.870003,112.000000,111.129997,111.870003,87.245903,107141500
2009-12-15,111.459999,111.919998,111.000000,111.349998,86.840378,120408800
2009-12-16,111.800003,112.129997,111.269997,111.519997,86.972946,155358200
2009-12-17,110.720001,110.930000,110.080002,110.180000,85.927895,183390100
2009-12-18,110.199997,110.300003,109.279999,110.209999,86.414032,174591200
2009-12-21,110.760002,111.699997,110.760002,111.330002,87.292229,118039600
2009-12-22,111.570000,111.970001,111.430000,111.730003,87.605858,91707500
2009-12-23,112.000000,112.110001,111.500000,111.949997,87.778320,111783100
2009-12-24,112.190002,112.599998,112.000000,112.480003,88.193909,39677500
2009-12-28,112.900002,112.989998,112.320000,112.720001,88.382065,87508500
2009-12-29,113.010002,113.029999,112.550003,112.559998,88.256622,80572500
2009-12-30,112.230003,112.650002,112.169998,112.519997,88.225266,73138400
2009-12-31,112.769997,112.800003,111.389999,111.440002,87.378471,90637900
2010-01-04,112.370003,113.389999,111.510002,113.330002,88.860374,118944600
