Date,AAPL,BA,CME,CVX,GS,IBM,MON,TEVA,XOM
2007-03-21,12.214483,71.009857,77.800108,50.541022,188.057596,77.047569,47.302961,30.850238,56.853516
2007-03-22,12.226194,70.829983,78.322612,51.667464,187.282013,76.910217,46.881533,30.560915,57.730811
2007-03-23,12.16894,71.150625,77.849048,52.212971,188.895589,76.780939,47.156753,30.784109,58.243211
2007-03-26,12.472123,71.033317,77.469044,52.708891,188.752949,76.756701,47.827594,30.784109,58.592581
2007-03-27,12.421376,70.790879,77.355333,52.545944,187.094797,76.538554,46.829932,30.428653,58.778908
2007-03-28,12.132506,69.954089,76.180772,52.482186,184.322295,76.158809,46.683721,30.329454,58.662451
2007-03-29,12.198869,70.196527,76.448503,53.098537,184.714548,76.409276,47.191153,30.461716,59.190383
2007-03-30,12.089566,69.531789,76.642821,52.39717,184.206412,76.158809,47.268558,30.941169,58.57705
2007-04-02,12.185857,69.469224,78.28663,53.013526,183.332752,76.926373,47.31156,30.924636,59.128278
2007-04-03,12.29646,70.306013,79.297096,53.374833,186.987823,77.645462,48.272707,31.371023,59.625153
2007-04-04,12.266532,70.595367,80.189528,53.523613,186.131997,77.734339,49.81571,31.395821,59.865826
2007-04-05,12.319881,70.77524,79.67134,53.566118,185.365324,77.984806,49.608826,31.329692,59.951227
2007-04-09,12.185857,70.407677,79.239518,53.481102,186.265727,78.065607,50.246717,31.255294,59.625153
2007-04-10,12.263929,71.041133,79.239518,54.579206,186.363791,77.93633,49.600207,31.404089,60.222955
2007-04-11,12.047928,70.360756,79.239518,54.239146,184.473845,76.885979,49.289882,31.089965,59.601857
2007-04-12,11.99588,71.048956,79.649749,54.671303,184.580832,77.298037,50.143273,30.668376,60.083208
2007-04-13,11.742143,71.189724,79.382018,54.557953,184.090515,76.700144,50.324298,30.701443,60.098739
2007-04-16,11.896988,70.62665,80.425594,55.167223,191.240184,77.710101,50.738064,30.536114,60.688775
2007-04-17,11.756456,70.736136,80.347864,55.230981,191.578937,78.46959,50.65186,30.759307,60.867343
2007-04-18,11.762962,73.418557,80.405442,55.096373,193.22818,76.595111,50.263957,30.82544,60.712066
2007-04-19,11.746047,72.722535,79.721719,54.416259,195.492532,76.183047,50.169135,30.709711,60.137554
2007-04-20,11.837131,72.957152,80.015362,55.578122,196.439021,76.417358,51.048389,30.428653,61.923205
2007-04-23,12.167639,73.230867,78.793304,54.947599,198.599848,76.926373,50.858745,29.891335,61.488435
2007-04-24,12.132506,73.254327,76.475853,54.621711,197.081913,79.576499,50.807023,30.511316,61.022614
2007-04-25,12.407063,74.052019,76.389487,55.486025,201.439292,81.976156,51.798339,31.180896,62.047421
2007-04-26,12.861186,73.715738,74.669392,55.386842,200.73389,81.523698,51.694898,32.321658,62.536538
2007-04-27,13.001716,73.528043,75.135763,55.315998,200.260651,81.741846,51.979361,32.24726,62.389026
2007-04-30,12.986102,72.730357,74.381509,55.110546,195.197884,82.58213,50.850126,31.668614,61.628181
2007-05-01,12.943162,72.910231,73.784153,55.507277,195.171098,83.357776,49.77261,32.197664,61.84557
2007-05-02,13.062874,73.379458,74.172794,55.712729,195.983644,82.590212,50.539801,32.718448,61.969786
2007-05-03,13.064175,73.395096,74.993257,56.364505,197.83195,83.058833,51.289751,32.429122,62.637464
2007-05-04,13.117524,73.207407,74.115222,56.180311,202.992937,83.188104,51.263892,32.362993,62.536538
2007-05-07,13.522202,73.950349,73.114827,56.378677,202.885793,83.349701,51.470773,32.156332,62.75392
2007-05-08,13.67054,73.676633,73.229982,56.71165,200.858896,83.779585,50.763923,31.957937,63.18092
2007-05-09,13.907361,73.849327,72.970888,56.499112,202.305411,84.663693,50.936326,31.751277,63.211975
2007-05-10,13.967217,72.844575,71.675417,55.393928,199.20703,84.907028,49.88467,31.865647,61.902042
2007-05-11,14.149386,73.315552,77.195558,56.704564,203.135805,85.961474,50.470839,33.10878,63.336732
2007-05-14,14.230062,73.441143,76.21532,57.292582,201.957165,85.628916,50.255335,33.133642,63.352323
2007-05-15,13.990638,74.053413,75.338718,57.193399,200.349947,85.028696,52.591389,33.042478,63.258755
2007-05-16,13.967217,74.838376,75.072425,57.607273,202.787573,85.872252,53.237898,33.531444,63.508265
2007-05-17,14.240471,75.976576,75.396296,58.128183,203.028661,85.418026,53.780967,33.357406,63.781172
2007-05-18,14.315942,75.850979,74.834927,59.120058,205.671651,87.591801,53.298242,33.183369,64.919564
2007-05-21,14.570979,76.062923,74.129614,59.105789,204.680527,86.821249,53.298242,33.614322,65.176867
2007-05-22,14.773968,75.73324,75.16023,58.641962,206.002035,86.545468,52.556911,33.630897,64.537496
2007-05-23,14.689389,75.01892,74.761513,58.08537,204.06442,85.637029,52.143145,33.481721,64.709036
2007-05-24,14.403122,76.471101,73.733774,57.064952,201.510712,84.314915,51.565595,33.083916,64.155435
2007-05-25,14.784378,77.122622,73.9137,57.892701,201.376782,85.312583,52.169004,33.175079,65.114494
2007-05-29,14.879367,77.318863,75.715845,57.592999,203.975138,85.904697,52.134523,33.017617,64.420543
2007-05-30,15.454502,78.928039,75.979255,58.691912,207.153876,86.732027,53.160317,32.669538,65.496556
2007-05-31,15.769396,78.959432,76.432667,58.14959,206.100255,86.464359,53.099976,32.487214,64.849386
2007-06-01,15.406358,78.362865,77.296317,58.677643,206.002035,86.415694,53.643045,32.702689,65.668095
2007-06-04,15.787613,78.480611,77.044421,59.31986,205.109131,86.164252,53.074117,32.827003,65.668095
2007-06-05,15.961976,78.103826,77.623059,59.034432,204.796609,85.847913,53.487883,32.760701,65.699285
2007-06-06,16.088193,77.154021,78.198307,58.363666,203.001875,83.065811,52.324167,32.570088,65.200264
2007-06-07,16.144145,76.015821,77.775882,57.229072,196.483669,82.571033,51.013907,32.304887,63.905924
2007-06-08,16.198797,77.075526,79.240662,57.57873,200.957116,83.60114,52.100042,32.222012,64.467324
2007-06-11,15.639275,76.57315,80.313293,58.056827,202.832221,83.722808,52.470708,32.885016,64.763616
2007-06-12,15.663999,75.73324,79.077745,57.485961,203.448328,83.009027,51.83282,32.96789,63.937114
2007-06-13,15.289249,77.295315,79.474217,57.906976,208.618239,83.641698,53.694767,33.191655,64.989736
2007-06-14,15.451899,77.687796,78.932136,58.749,201.573222,84.233805,54.57402,32.926453,66.096938
2007-06-15,15.679612,77.044127,79.683266,59.348404,201.966103,85.23958,55.910139,33.150218,67.009216
2007-06-18,16.27687,76.455404,78.715877,59.505392,202.662567,85.434251,56.884211,33.216519,67.336698
2007-06-19,16.090796,76.078619,78.757686,59.434035,204.894829,86.383249,58.134134,32.959604,66.931239
2007-06-20,15.81624,75.419253,78.41456,57.778531,201.698228,85.977694,56.884211,32.802142,64.576485
2007-06-21,16.122025,76.298408,79.185875,59.120058,202.600057,86.464359,57.901386,33.191655,65.730474
2007-06-22,16.004915,75.293656,77.845085,58.192408,198.581986,84.712364,58.228955,33.54802,64.342566
